"MARCA RECURSO INSUFICIENTE";"CUADRILLA DESASIGNADA";"COD MOVIL";"TIPO MOVIL";ESTADO;"ESTADO DE FINALIZACION";"CODIGO AMBITO";"CODIGO ELEMENTO RESPONSABLE";"CODIGO CONDICION";BAREMOS;PRECIO
NO;SI;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;R03;69;;
NO;NO;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;C25;29;;
NO;SI;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;R03;22;;
NO;NO;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;R03;22;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V5563;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;U01;15;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;85;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;C25;66;;
SI;SI;V4032;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;5;C01;40;;
SI;SI;V4656;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;5;C01;40;;
SI;SI;C0001;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;5;C01;40;;
NO;SI;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;25;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;25;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;3;P29;61;;
NO;NO;V5563;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;57;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;57;;
NO;NO;V4041;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;88;;
SI;SI;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;5;C46;17;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;C25;66;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;8;L09;15;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;1;;
NO;NO;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;I01;45;;
NO;SI;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;40;;
NO;NO;V5563;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P25;40;;
NO;NO;V5541;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;C30;43;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;0;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;9;L04;69;;
NO;SI;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;2;;
NO;NO;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;2;;
NO;SI;V5563;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;U01;15;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;57;;
NO;SI;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;7;P25;43;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;7;P25;43;;
NO;SI;V4650;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;A02;17;;
NO;NO;V3602;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;C30;19;;
SI;SI;V4036;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;5;C01;40;;
SI;SI;V4653;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;5;C01;40;;
SI;SI;V4010;"MOTO PRIORIDAD 1";CERRADO;PROVISORIO;5;C01;40;;
SI;SI;V4653;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;5;C01;40;;
NO;NO;V3602;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;A02;16;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;66;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P26;40;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;1;;
NO;SI;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;C33;19;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;57;;
NO;NO;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;6;A02;16;;
NO;NO;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;85;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;15;;
NO;SI;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;U01;43;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;26;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;4;L02;85;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;4;L02;69;;
NO;NO;V5541;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;66;;
NO;NO;V4041;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;4;S03;37;;
NO;SI;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V3620;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V4650;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;88;;
NO;NO;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;16;;
NO;SI;V4608;"DOMICILIARIA EMERGENCIA";ANULADO;TERMINADO;;;;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V4041;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;88;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;3;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
SI;SI;V4032;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;7;C02;40;;
NO;SI;V4656;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;7;C02;40;;
SI;SI;V4656;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;7;C02;40;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;17;;
NO;NO;V3602;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;52;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;66;;
NO;SI;V5540;"SERVICIO DE EMERGENCIA RED";ANULADO;TERMINADO;;;;;
NO;SI;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;U01;15;;
NO;NO;V5563;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;U01;15;;
NO;SI;V5540;"SERVICIO DE EMERGENCIA RED";ANULADO;TERMINADO;;;;;
SI;SI;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;4;P34;16;;
NO;SI;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;4;P34;16;;
NO;NO;V5541;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;4;S03;29;;
NO;SI;V3602;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;8;C07;25;;
NO;NO;V3602;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;8;C07;25;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;15;;
NO;SI;V3620;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;U01;15;;
NO;SI;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;U01;15;;
NO;NO;V3620;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;U01;15;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P25;43;;
SI;SI;V4010;"MOTO PRIORIDAD 1";CERRADO;TERMINADO;7;P26;40;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;A02;16;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;26;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;A11;69;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;U01;15;;
NO;NO;V5541;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;85;;
NO;NO;V3606;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;3;P29;61;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;15;;
NO;NO;C0001;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;88;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P25;43;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;22;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;9;L04;12;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;T04;54;;
NO;SI;V3602;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;A11;29;;
NO;NO;V3602;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;A11;29;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;P50;61;;
NO;NO;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;88;;
NO;NO;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;6;A02;16;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;4;L02;16;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;1;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;U01;15;;
NO;SI;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;1;;
NO;SI;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;1;;
NO;NO;V5529;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;C25;14;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;P50;66;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;T20;85;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;B01;15;;
NO;NO;V5560;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;85;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;88;;
NO;NO;V4608;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;88;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;29;;
NO;SI;V3616;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;15;;
NO;SI;V4654;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;7;C02;40;;
SI;SI;V4650;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;7;C02;40;;
NO;NO;V5529;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;C25;5;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;P50;22;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;26;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P25;43;;
SI;SI;V4012;"MOTO ELECTRICISTA";CERRADO;PROVISORIO;7;C02;40;;
SI;SI;V4650;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;7;C02;40;;
NO;SI;V4012;"MOTO ELECTRICISTA";CERRADO;TERMINADO;7;D02;45;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;SI;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;1;L02;12;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;1;L02;12;;
NO;NO;V3616;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;8;P21;11;;
NO;NO;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;P25;66;;
NO;NO;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;1;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;15;;
NO;SI;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;P41;43;;
NO;NO;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;16;;
NO;NO;V5534;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;1;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;P25;40;;
NO;NO;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;40;;
NO;SI;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;26;;
NO;NO;C0001;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P43;32;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;2;;
NO;SI;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;26;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;26;;
NO;SI;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;2;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;2;;
NO;NO;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;43;;
NO;SI;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;SI;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P42;80;;
NO;NO;V5529;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P42;80;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;7;D02;85;;
NO;NO;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;6;A02;16;;
NO;NO;V4605;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;85;;
NO;NO;V3620;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;3;T15;73;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;45;;
NO;NO;V5529;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;C25;14;;
NO;NO;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;P50;14;;
NO;NO;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;8;L05;16;;
NO;SI;V3624;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V3621;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;4;L02;85;;
NO;NO;V3620;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V5566;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;6;R07;54;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;45;;
NO;SI;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;26;;
NO;NO;V5560;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;D02;85;;
NO;SI;V5565;"DOMICILIARIA EMERGENCIA";CERRADO;PROVISORIO;4;C26;16;;
NO;SI;V4656;"SERVICIO DE EMERGENCIA RED";ANULADO;TERMINADO;;;;;
NO;NO;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A01;26;;
NO;NO;V5534;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;C07;85;;
NO;SI;V3620;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;3;P29;81;;
NO;NO;V5534;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;1;;
NO;SI;V5541;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;1;P16;85;;
NO;NO;V5560;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P25;40;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;85;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;85;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;D02;85;;
NO;SI;V5540;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;4;P16;48;;
NO;NO;V5529;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;4;P16;48;;
NO;SI;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;1;P16;11;;
NO;NO;V5533;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;1;P16;11;;
NO;NO;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;15;;
NO;NO;V5534;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;43;;
NO;NO;V5534;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P25;43;;
NO;NO;V5541;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;8;P22;11;;
NO;NO;V5566;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;4;P16;85;;
NO;NO;V3620;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;9;L04;12;;
NO;SI;V3616;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P43;54;;
NO;NO;V3616;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;P43;54;;
NO;NO;V5542;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;P43;80;;
NO;NO;V3656;"SERVICIO DE EMERGENCIA RED";CERRADO;TERMINADO;6;A02;19;;
NO;NO;V3616;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;4;L07;19;;
NO;NO;V5536;"SERVICIO DE EMERGENCIA RED";CERRADO;PROVISORIO;6;A02;40;;
NO;NO;V3616;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;6;A02;25;;
NO;NO;V5564;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;4;L07;19;;
NO;SI;V3615;"DOMICILIARIA EMERGENCIA";CERRADO;TERMINADO;9;L06;26;;
